  =  0.18269
а =  0.07216
б =  0.01441
в =  0.03603
г =  0.01467
д =  0.02492
е =  0.06640
ж =  0.00878
з =  0.01421
и =  0.05110
й =  0.00836
к =  0.02930
л =  0.04469
м =  0.02711
н =  0.05142
о =  0.08768
п =  0.02259
р =  0.03561
с =  0.04266
т =  0.04968
у =  0.02673
ф =  0.00078
х =  0.00676
ц =  0.00241
ч =  0.01118
ш =  0.00872
щ =  0.00305
ъ =  0.00019
ы =  0.01437
ь =  0.01658
э =  0.00192
ю =  0.00429
я =  0.01856
Entropy with spaces = 4.332707640826741
R = 0.13345847183465176
а =  0.08829
б =  0.01763
в =  0.04408
г =  0.01794
д =  0.03049
е =  0.08124
ж =  0.01074
з =  0.01738
и =  0.06252
й =  0.01022
к =  0.03585
л =  0.05468
м =  0.03317
н =  0.06292
о =  0.10728
п =  0.02764
р =  0.04358
с =  0.05220
т =  0.06079
у =  0.03271
ф =  0.00095
х =  0.00827
ц =  0.00294
ч =  0.01368
ш =  0.01067
щ =  0.00373
ъ =  0.00023
ы =  0.01758
ь =  0.02029
э =  0.00235
ю =  0.00525
я =  0.02270
Entropy without spaces = 4.461932441334842
R = 0.10761351173303169
   =  0.01932
 а =  0.00172
 б =  0.00586
 в =  0.01418
 г =  0.00417
 д =  0.00777
 е =  0.00385
 ж =  0.00234
 з =  0.00548
 и =  0.00836
 к =  0.00811
 л =  0.00449
 м =  0.00779
 н =  0.01685
 о =  0.01126
 п =  0.01577
 р =  0.00447
 с =  0.01584
 т =  0.00874
 у =  0.00454
 ф =  0.00028
 х =  0.00160
 ц =  0.00018
 ч =  0.00413
 ш =  0.00098
 щ =  0.00016
 э =  0.00184
 ю =  0.00005
 я =  0.00203
а  =  0.01988
аа =  0.00010
аб =  0.00117
ав =  0.00253
аг =  0.00052
ад =  0.00165
ае =  0.00107
аж =  0.00110
аз =  0.00309
аи =  0.00011
ай =  0.00082
ак =  0.00555
ал =  0.00849
ам =  0.00283
ан =  0.00301
ао =  0.00004
ап =  0.00101
ар =  0.00442
ас =  0.00356
ат =  0.00502
ау =  0.00011
аф =  0.00009
ах =  0.00105
ац =  0.00012
ач =  0.00097
аш =  0.00095
ащ =  0.00044
аю =  0.00082
ая =  0.00179
б  =  0.00043
ба =  0.00111
бб =  0.00001
бв =  0.00003
бг =  0.00000
бд =  0.00002
бе =  0.00213
бж =  0.00002
бз =  0.00000
би =  0.00087
бк =  0.00017
бл =  0.00071
бм =  0.00004
бн =  0.00039
бо =  0.00234
бр =  0.00115
бс =  0.00009
бт =  0.00000
бу =  0.00117
бх =  0.00004
бц =  0.00002
бч =  0.00002
бш =  0.00000
бщ =  0.00019
бъ =  0.00010
бы =  0.00247
бь =  0.00006
бя =  0.00086
в  =  0.00572
ва =  0.00754
вб =  0.00003
вв =  0.00005
вг =  0.00003
вд =  0.00030
ве =  0.00421
вж =  0.00002
вз =  0.00047
ви =  0.00250
вк =  0.00029
вл =  0.00074
вм =  0.00014
вн =  0.00100
во =  0.00570
вп =  0.00013
вр =  0.00059
вс =  0.00238
вт =  0.00025
ву =  0.00078
вх =  0.00008
вц =  0.00002
вч =  0.00008
вш =  0.00035
вщ =  0.00000
вы =  0.00241
вь =  0.00019
вя =  0.00017
г  =  0.00079
га =  0.00108
гб =  0.00000
гв =  0.00001
гг =  0.00000
гд =  0.00112
ге =  0.00011
ги =  0.00065
гк =  0.00012
гл =  0.00197
гм =  0.00000
гн =  0.00043
го =  0.00653
гп =  0.00000
гр =  0.00097
гс =  0.00002
гт =  0.00008
гу =  0.00065
гч =  0.00004
гш =  0.00000
д  =  0.00105
да =  0.00437
дб =  0.00005
дв =  0.00059
дг =  0.00001
дд =  0.00004
де =  0.00447
дж =  0.00003
ди =  0.00295
дк =  0.00027
дл =  0.00041
дм =  0.00004
дн =  0.00143
до =  0.00385
дп =  0.00008
др =  0.00113
дс =  0.00021
дт =  0.00025
ду =  0.00176
дх =  0.00008
дц =  0.00017
дч =  0.00002
дш =  0.00002
дъ =  0.00005
ды =  0.00055
дь =  0.00034
дэ =  0.00001
дю =  0.00001
дя =  0.00043
е  =  0.01611
еа =  0.00007
еб =  0.00186
ев =  0.00331
ег =  0.00315
ед =  0.00249
ее =  0.00110
еж =  0.00061
ез =  0.00127
еи =  0.00008
ей =  0.00203
ек =  0.00084
ел =  0.00566
ем =  0.00324
ен =  0.00500
ео =  0.00020
еп =  0.00088
ер =  0.00547
ес =  0.00330
ет =  0.00542
еу =  0.00009
еф =  0.00014
ех =  0.00042
ец =  0.00038
еч =  0.00074
еш =  0.00140
ещ =  0.00065
ею =  0.00016
ея =  0.00034
ж  =  0.00051
жа =  0.00114
жб =  0.00002
жв =  0.00000
жг =  0.00001
жд =  0.00056
же =  0.00356
жж =  0.00001
жи =  0.00152
жк =  0.00010
жл =  0.00005
жм =  0.00002
жн =  0.00075
жо =  0.00007
жр =  0.00001
жс =  0.00000
жт =  0.00002
жу =  0.00024
жч =  0.00019
жь =  0.00003
з  =  0.00145
за =  0.00586
зб =  0.00017
зв =  0.00085
зг =  0.00031
зд =  0.00078
зе =  0.00039
зж =  0.00007
зз =  0.00012
зи =  0.00027
зк =  0.00023
зл =  0.00026
зм =  0.00025
зн =  0.00147
зо =  0.00046
зп =  0.00003
зр =  0.00022
зт =  0.00002
зу =  0.00043
зц =  0.00001
зч =  0.00001
